# Array map for 200um array for ZEUS-2. 
# Last updated: Aug 5, 2016 by AV
# Last updated: Nov 7, 2018 by CR
# Nov 7 2018 update - row select 29 and 31 are already mapped to 23 and 28 in experiment.cfg
#      so here we need to write 23 and 28 since that is what they're called in the data files.
#      Before this they were referred to as 29 and 31 and so pixels appeared dead.
# --------------------------------------------------------------
# Column ID details for ZEUS-2 data acquisition software by JPS
# det-row = Detector Map Row Index
# det-column = Detector Map Column Index
# mce-row = MCE Datafile Array Row Index
# mce-column = MCE Datafile Array Column Index
# mask-off = Could be used for flagged pixels
# dark-sq = Identifies if a pixel on the Detector Map is a Dark Squid, corresponding pix-number must be NaN
# pix-number = Pixel number on the detector array bond pads
# --------------------------------------------------------------
# det-row  det-column  mce-row  mce-column mask-off  dark-sq  pix-number
#dr dc  mr  mc  off  dsq pxn
9 22 0 12 0 1 NaN
8 19 1 12 0 0 228
7 19 2 12 0 0 229
6 19 3 12 0 0 230
5 19 4 12 0 0 231
4 19 5 12 0 0 232
3 19 6 12 0 0 233
2 19 7 12 0 0 234
1 19 8 12 0 0 235
8 20 9 12 0 0 236
7 20 10 12 0 0 237
6 20 11 12 0 0 238
5 20 12 12 0 0 239
4 20 13 12 0 0 240
3 20 14 12 0 0 241
2 20 15 12 0 0 242
8 21 16 12 0 0 243
7 21 17 12 0 0 244
6 21 18 12 0 0 245
5 21 19 12 0 0 246
4 21 20 12 0 0 247
3 21 21 12 0 0 248
8 22 22 12 0 0 249
7 22 23 12 0 0 250
6 22 24 12 0 0 251
5 22 25 12 0 0 252
4 22 26 12 0 0 253
8 23 27 12 0 0 254
7 23 28 12 0 0 255      
1 18 1 13 0 0 226
2 18 2 13 0 0 225
3 18 3 13 0 0 224
4 18 4 13 0 0 223
5 18 5 13 0 0 222
6 18 6 13 0 0 221
7 18 7 13 0 0 220
8 18 8 13 0 0 219
0 17 9 13 0 0 218
1 17 10 13 0 0 217
2 17 11 13 0 0 216
3 17 12 13 0 0 215
4 17 13 13 0 0 214
5 17 14 13 0 0 213
6 17 15 13 0 0 212
7 17 16 13 0 0 211
8 17 17 13 0 0 210
0 16 18 13 0 0 209
1 16 19 13 0 0 208
2 16 20 13 0 0 207
3 16 21 13 0 0 206
4 16 22 13 0 0 205
5 16 23 13 0 0 204
6 16 24 13 0 0 203
7 16 25 13 0 0 202
8 16 26 13 0 0 201
0 15 27 13 0 0 200
1 15 28 13 0 0 199
9 17 30 13 0 1 NaN      
9 14 0 14 0 1 NaN
2 12 1 14 0 0 171
1 12 2 14 0 0 172
0 12 3 14 0 0 173
8 13 4 14 0 0 174
7 13 5 14 0 0 175
6 13 6 14 0 0 176
5 13 7 14 0 0 177
4 13 8 14 0 0 178
3 13 9 14 0 0 179
2 13 10 14 0 0 180
1 13 11 14 0 0 181
0 13 12 14 0 0 182
8 14 13 14 0 0 183
7 14 14 14 0 0 184
6 14 15 14 0 0 185
5 14 16 14 0 0 186
4 14 17 14 0 0 187
3 14 18 14 0 0 188
2 14 19 14 0 0 189
1 14 20 14 0 0 190
0 14 21 14 0 0 191
8 15 22 14 0 0 192
7 15 23 14 0 0 193
6 15 24 14 0 0 194
5 15 25 14 0 0 195
4 15 26 14 0 0 196
# 10 15 27 14 0 0 197
3 15 27 14 0 0 197
2 15 28 14 0 0 198      
3 12 1 15 0 0 170
4 12 2 15 0 0 169
5 12 3 15 0 0 168
6 12 4 15 0 0 167
7 12 5 15 0 0 166
8 12 6 15 0 0 165
0 11 7 15 0 0 164
1 11 8 15 0 0 163
2 11 9 15 0 0 162
3 11 10 15 0 0 161
4 11 11 15 0 0 160
5 11 12 15 0 0 159
6 11 13 15 0 0 158
7 11 14 15 0 0 157
8 11 15 15 0 0 156
0 10 16 15 0 0 155
1 10 17 15 0 0 154
2 10 18 15 0 0 153
3 10 19 15 0 0 152
4 10 20 15 0 0 151
5 10 21 15 0 0 150
6 10 22 15 0 0 149
7 10 23 15 0 0 148
8 10 24 15 0 0 147
0 9 25 15 0 0 146
1 9 26 15 0 0 145
# 11 9 27 15 0 0 144
2 9 27 15 0 0 144
3 9 28 15 0 0 143
9 11 30 15 0 1 NaN      
9 8 0 16 0 1 NaN
4 6 1 16 0 0 115
3 6 2 16 0 0 116
2 6 3 16 0 0 117
1 6 4 16 0 0 118
0 6 5 16 0 0 119
8 7 6 16 0 0 120
7 7 7 16 0 0 121
6 7 8 16 0 0 122
5 7 9 16 0 0 123
4 7 10 16 0 0 124
3 7 11 16 0 0 125
2 7 12 16 0 0 126
1 7 13 16 0 0 127
0 7 14 16 0 0 128
8 8 15 16 0 0 129
7 8 16 16 0 0 130
6 8 17 16 0 0 131
5 8 18 16 0 0 132
4 8 19 16 0 0 133
3 8 20 16 0 0 134
2 8 21 16 0 0 135
1 8 22 16 0 0 136
0 8 23 16 0 0 137
8 9 24 16 0 0 138
# 12 9 25 16 0 0 139
7 9 25 16 0 0 139
6 9 26 16 0 0 140
5 9 27 16 0 0 141
4 9 28 16 0 0 142      
5 6 1 17 0 0 114
6 6 2 17 0 0 113
7 6 3 17 0 0 112
8 6 4 17 0 0 111
0 5 5 17 0 0 110
1 5 6 17 0 0 109
2 5 7 17 0 0 108
3 5 8 17 0 0 107
4 5 9 17 0 0 106
5 5 10 17 0 0 105
6 5 11 17 0 0 104
7 5 12 17 0 0 103
8 5 13 17 0 0 102
0 4 14 17 0 0 101
1 4 15 17 0 0 100
2 4 16 17 0 0 99
3 4 17 17 0 0 98
4 4 18 17 0 0 97
5 4 19 17 0 0 96
6 4 20 17 0 0 95
7 4 21 17 0 0 94
8 4 22 17 0 0 93
0 3 23 17 0 0 92
1 3 24 17 0 0 91
# 13 3 25 17 0 0 90
2 3 25 17 0 0 90
3 3 26 17 0 0 89
4 3 27 17 0 0 88
5 3 28 17 0 0 87
9 5 30 17 0 1 NaN      
9 2 0 18 0 1 NaN
6 0 1 18 0 0 59
5 0 2 18 0 0 60
4 0 3 18 0 0 61
3 0 4 18 0 0 62
2 0 5 18 0 0 63
1 0 6 18 0 0 64
0 0 7 18 0 0 65
8 1 8 18 0 0 66
7 1 9 18 0 0 67
6 1 10 18 0 0 68
5 1 11 18 0 0 69
4 1 12 18 0 0 70
3 1 13 18 0 0 71
2 1 14 18 0 0 72
1 1 15 18 0 0 73
0 1 16 18 0 0 74
8 2 17 18 0 0 75
7 2 18 18 0 0 76
6 2 19 18 0 0 77
5 2 20 18 0 0 78
4 2 21 18 0 0 79
3 2 22 18 0 0 80
# 14 2 23 18 0 0 81
2 2 23 18 0 0 81
1 2 24 18 0 0 82
0 2 25 18 0 0 83
8 3 26 18 0 0 84
7 3 27 18 0 0 85
6 3 28 18 0 0 86
