# Array map for 600um array for ZEUS-2. 
# Last updated: Aug 5, 2016 by AV
# Last updated: Nov 7, 2018 by CR
# Nov 7 2018 update - row select 29 and 31 are already mapped to 23 and 28 in experiment.cfg
#      so here we need to write 23 and 28 since that is what they're called in the data files.
#      Before this they were referred to as 29 and 31 and so pixels appeared dead.
# --------------------------------------------------------------
# Column ID details for ZEUS-2 data acquisition software by JPS
# det-row = Detector Map Row Index
# det-column = Detector Map Column Index
# mce-row = MCE Datafile Array Row Index
# mce-column = MCE Datafile Array Column Index
# mask-off = Could be used for flagged pixels
# dark-sq = Identifies if a pixel on the Detector Map is a Dark Squid, corresponding pix-number must be NaN
# pix-number = Pixel number on the detector array bond pads
# --------------------------------------------------------------
# det-row 	det-column 	mce-row 	mce-column	mask-off 	dark-sq 	pix-number
#dr dc  mr  mc  off  dsq pxn
0	11	1	19	0	0	56
1	11	2	19	0	0	55
2	11	3	19	0	0	54
3	11	4	19	0	0	53
4	11	5	19	0	0	52
0	10	6	19	0	0	51
1	10	7	19	0	0	50
2	10	8	19	0	0	49
3	10	9	19	0	0	48
4	10	10	19	0	0	47
0	9	11	19	0	0	46
1	9	12	19	0	0	45
2	9	13	19	0	0	44
3	9	14	19	0	0	43
4	9	15	19	0	0	42
0	8	16	19	0	0	41
1	8	17	19	0	0	40
2	8	18	19	0	0	39
3	8	19	19	0	0	38
4	8	20	19	0	0	37
0	7	21	19	0	0	36
1	7	22	19	0	0	35
2	7	23	19	0	0	34
3	7	24	19	0	0	33
4	7	25	19	0	0	32
0	6	26	19	0	0	31
1	6	27	19	0	0	30
2	6	28	19	0	0	29
4	0	30	19	0	1	NaN
3	0	0	20	0	1	NaN
1	0	1	20	0	0	1
0	0	2	20	0	0	2
3	1	3	20	0	0	3
2	1	4	20	0	0	4
1	1	5	20	0	0	5
0	1	6	20	0	0	6
4	2	7	20	0	0	7
3	2	8	20	0	0	8
2	2	9	20	0	0	9
1	2	10	20	0	0	10
0	2	11	20	0	0	11
4	3	12	20	0	0	12
3	3	13	20	0	0	13
2	3	14	20	0	0	14
1	3	15	20	0	0	15
0	3	16	20	0	0	16
4	4	17	20	0	0	17
3	4	18	20	0	0	18
2	4	19	20	0	0	19
1	4	20	20	0	0	20
0	4	21	20	0	0	21
4	5	22	20	0	0	22
3	5	23	20	0	0	23
2	5	24	20	0	0	24
1	5	25	20	0	0	25
0	5	26	20	0	0	26
4	6	27	20	0	0	27
3	6	28	20	0	0	28
